"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","georeference"
"2021-12-24T14:00:00.000","subway","372","Longwood Av (6)","Bronx","metrocard","Metrocard - Unlimited 7-Day","25.0","0.0","40.816105","-73.89644","POINT (-73.89644 40.816105)"
"2021-12-24T04:00:00.000","subway","244","Ditmas Av (F)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","2.0","0.0","40.63612","-73.97817","POINT (-73.97817 40.63612)"
"2021-12-24T18:00:00.000","subway","246","Avenue I (F)","Brooklyn","metrocard","Metrocard - Full Fare","14.0","1.0","40.62532","-73.97613","POINT (-73.97613 40.62532)"
"2021-12-24T21:00:00.000","subway","224","57 St (F)","Manhattan","metrocard","Metrocard - Seniors & Disability","5.0","0.0","40.763973","-73.97745","POINT (-73.97745 40.763973)"
"2021-12-24T10:00:00.000","subway","475","96 St (Q)","Manhattan","metrocard","Metrocard - Students","6.0","0.0","40.784317","-73.94715","POINT (-73.94715 40.784317)"
"2021-12-24T16:00:00.000","subway","211","Bedford Park Blvd (B,D)","Bronx","metrocard","Metrocard - Other","12.0","0.0","40.873245","-73.88714","POINT (-73.88714 40.873245)"
"2021-12-24T06:00:00.000","subway","48","Avenue H (Q)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","8.0","0.0","40.62927","-73.96164","POINT (-73.96164 40.62927)"
"2021-12-24T10:00:00.000","subway","329","Rector St (1)","Manhattan","metrocard","Metrocard - Full Fare","29.0","0.0","40.70751","-74.01379","POINT (-74.01379 40.70751)"
"2021-12-24T03:00:00.000","subway","371","Hunts Point Av (6)","Bronx","metrocard","Metrocard - Full Fare","5.0","0.0","40.82095","-73.89055","POINT (-73.89055 40.82095)"
"2021-12-24T12:00:00.000","subway","1","Astoria-Ditmars Blvd (N,W)","Queens","omny","OMNY - Full Fare","70.0","2.0","40.775036","-73.91203","POINT (-73.91203 40.775036)"
"2021-12-24T10:00:00.000","subway","324","Houston St (1)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","22.0","0.0","40.728252","-74.00536","POINT (-74.00536 40.728252)"
"2021-12-24T11:00:00.000","subway","216","174-175 Sts (B,D)","Bronx","metrocard","Metrocard - Unlimited 7-Day","19.0","0.0","40.8459","-73.91013","POINT (-73.91013 40.8459)"
"2021-12-24T08:00:00.000","subway","377","3 Av-138 St (6)","Bronx","metrocard","Metrocard - Seniors & Disability","7.0","1.0","40.810474","-73.92614","POINT (-73.92614 40.810474)"
"2021-12-24T08:00:00.000","subway","354","Sterling St (2,5)","Brooklyn","metrocard","Metrocard - Other","4.0","0.0","40.662743","-73.95085","POINT (-73.95085 40.662743)"
"2021-12-24T09:00:00.000","subway","471","34 St-Hudson Yards (7)","Manhattan","metrocard","Metrocard - Other","3.0","0.0","40.755882","-74.00191","POINT (-74.00191 40.755882)"
"2021-12-24T02:00:00.000","subway","43","Parkside Av (Q)","Brooklyn","metrocard","Metrocard - Fair Fare","1.0","1.0","40.655293","-73.961494","POINT (-73.961494 40.655293)"
"2021-12-24T11:00:00.000","subway","357","Beverly Rd (2,5)","Brooklyn","metrocard","Metrocard - Fair Fare","7.0","0.0","40.6451","-73.94896","POINT (-73.94896 40.6451)"
"2021-12-24T10:00:00.000","subway","279","Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","Queens","metrocard","Metrocard - Seniors & Disability","20.0","7.0","40.700485","-73.80797","POINT (-73.80797 40.700485)"
"2021-12-24T12:00:00.000","subway","157","96 St (C,B)","Manhattan","metrocard","Metrocard - Seniors & Disability","16.0","3.0","40.79164","-73.9647","POINT (-73.9647 40.79164)"
"2021-12-24T09:00:00.000","subway","434","3 Av-149 St (2,5)","Bronx","metrocard","Metrocard - Seniors & Disability","16.0","6.0","40.81611","-73.917755","POINT (-73.917755 40.81611)"
"2021-12-24T05:00:00.000","subway","43","Parkside Av (Q)","Brooklyn","metrocard","Metrocard - Full Fare","11.0","0.0","40.655293","-73.961494","POINT (-73.961494 40.655293)"
"2021-12-24T03:00:00.000","subway","228","23 St (F,M)","Manhattan","metrocard","Metrocard - Other","1.0","0.0","40.742878","-73.99282","POINT (-73.99282 40.742878)"
"2021-12-24T03:00:00.000","subway","429","Freeman St (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","1.0","0.0","40.829994","-73.89187","POINT (-73.89187 40.829994)"
"2021-12-24T19:00:00.000","subway","37","77 St (R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","8.0","0.0","40.62974","-74.02551","POINT (-74.02551 40.62974)"
"2021-12-24T14:00:00.000","subway","256","Parsons Blvd (F)","Queens","metrocard","Metrocard - Unlimited 7-Day","40.0","0.0","40.707565","-73.80333","POINT (-73.80333 40.707565)"
"2021-12-24T10:00:00.000","subway","113","Knickerbocker Av (M)","Brooklyn","metrocard","Metrocard - Full Fare","23.0","0.0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"2021-12-24T17:00:00.000","subway","206","Beach 44 St (A)","Queens","metrocard","Metrocard - Unlimited 30-Day","3.0","0.0","40.59294","-73.77602","POINT (-73.77602 40.59294)"
"2021-12-24T23:00:00.000","subway","160","72 St (C,B)","Manhattan","metrocard","Metrocard - Full Fare","5.0","1.0","40.775593","-73.97641","POINT (-73.97641 40.775593)"
"2021-12-24T22:00:00.000","subway","452","90 St-Elmhurst Av (7)","Queens","metrocard","Metrocard - Other","3.0","0.0","40.74841","-73.87661","POINT (-73.87661 40.74841)"
"2021-12-24T22:00:00.000","subway","378","Woodlawn (4)","Bronx","metrocard","Metrocard - Other","3.0","0.0","40.886036","-73.87875","POINT (-73.87875 40.886036)"
"2021-12-24T08:00:00.000","subway","476","86 St (Q)","Manhattan","metrocard","Metrocard - Other","10.0","0.0","40.77789","-73.95179","POINT (-73.95179 40.77789)"
"2021-12-24T19:00:00.000","subway","313","72 St (1,2,3)","Manhattan","metrocard","Metrocard - Other","17.0","0.0","40.778454","-73.98197","POINT (-73.98197 40.778454)"
"2021-12-24T14:00:00.000","subway","101","Marcy Av (M,J,Z)","Brooklyn","metrocard","Metrocard - Full Fare","122.0","8.0","40.70836","-73.957756","POINT (-73.957756 40.70836)"
"2021-12-24T02:00:00.000","subway","157","96 St (C,B)","Manhattan","metrocard","Metrocard - Other","1.0","0.0","40.79164","-73.9647","POINT (-73.9647 40.79164)"
"2021-12-24T16:00:00.000","subway","359","Flatbush Av-Brooklyn College (2,5)","Brooklyn","metrocard","Metrocard - Students","20.0","3.0","40.632835","-73.94764","POINT (-73.94764 40.632835)"
"2021-12-24T02:00:00.000","subway","450","103 St-Corona Plaza (7)","Queens","metrocard","Metrocard - Other","1.0","0.0","40.749866","-73.8627","POINT (-73.8627 40.749866)"
"2021-12-24T10:00:00.000","subway","16","8 St-NYU (R,W)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","15.0","0.0","40.730328","-73.99263","POINT (-73.99263 40.730328)"
"2021-12-24T09:00:00.000","subway","231","Grand St (B,D)","Manhattan","metrocard","Metrocard - Fair Fare","23.0","0.0","40.718266","-73.99375","POINT (-73.99375 40.718266)"
"2021-12-24T14:00:00.000","subway","5","36 Av (N,W)","Queens","metrocard","Metrocard - Unlimited 7-Day","43.0","0.0","40.756805","-73.92957","POINT (-73.92957 40.756805)"
"2021-12-24T20:00:00.000","subway","253","Neptune Av (F)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","2.0","0.0","40.581013","-73.97457","POINT (-73.97457 40.581013)"
"2021-12-24T11:00:00.000","subway","253","Neptune Av (F)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3.0","0.0","40.581013","-73.97457","POINT (-73.97457 40.581013)"
"2021-12-24T15:00:00.000","subway","103","Bowery (J,Z)","Manhattan","metrocard","Metrocard - Fair Fare","6.0","0.0","40.72028","-73.99391","POINT (-73.99391 40.72028)"
"2021-12-24T09:00:00.000","subway","272","36 St (M,R)","Queens","metrocard","Metrocard - Unlimited 30-Day","8.0","0.0","40.75204","-73.92878","POINT (-73.92878 40.75204)"
"2021-12-24T02:00:00.000","subway","266","Elmhurst Av (M,R)","Queens","omny","OMNY - Full Fare","1.0","0.0","40.742455","-73.88202","POINT (-73.88202 40.742455)"
"2021-12-24T17:00:00.000","subway","103","Bowery (J,Z)","Manhattan","metrocard","Metrocard - Students","4.0","0.0","40.72028","-73.99391","POINT (-73.99391 40.72028)"
